start	end	eng	cmn	jpn
30248	32032	 Kevin Flynn: The Grid. 	 『创界网络』 	 グリッドゾーン 
33612	35035	 A digital frontier. 	 数位的新领域 	 デジタルの世界 
37496	42042	 I tried to picture clusters of information, as they moved through the computer. 	 我尝试想橡电脑里 资料串移动行进间 	 記憶型情報はコンピューターの中を どう移行するのだろう 
43043	45045	 What did they look like? 	 看起来橡什么？ 	 どんな形をしてるのだろう？ 
45462	48048	 Ships, motorcycles? 	 船？摩托车？ 	 船か？ バイクか？ 
48590	51051	 Were the circuits like freeways? 	 电路橡高速公路吗？ 	 集積回路をどのように使うか？ 
51218	54054	 I kept dreaming of a world,  I thought I'd never see. 	 我一直梦想着一个世界  以为自己终将无法亲眼目睹 	 一生見る事の無い世界を 私はいつも想像してた 
56181	68008	 And then, one day.  Sam: You got in.  Kevin: Ha, ha, ha, that's right, man.  I got in. 	 然后，有一天  你进去了  没错，我进去了  【创：光速战记】 	 そして ある日ついに私は  入った そうだよ　入ったんだ 
98639	102042	 Kevin: And the world was more beautiful than I ever dreamed. 	 这世界比我想橡的更漂亮 	 その世界は想像してたより ずっと綺麗だった 
102309	107047	 And also, more dangerous than I ever dreamed.  Get in bed now, come on. 	 也更危险…  该上床了，小子，快点 	 そして思っていたより 危険だった  もう ベッドに入れ 
108275	113053	 Now, I met a brave warrior.  -Tron. -Ba, ba, bom, bom, bommm. 	 然后，我遇见一位英勇的战士  创！ 	 そこでパパは勇者に会った トロン  バンバ　バンバン　バーン 
113887	115055	 Kevin: TRON! 	 创！ 	 トロン！ 
115479	118058	 Sam: He fights for the users.  Kevin: He sure does. 	 他为使用者而战  没错 	 ユーザーの為に戦う その通り 
118272	129009	 Oh man, he showed me things that no one had ever imagined.  Here at least. Disc battles fought in spectacular arenas.  Cycles that raced on ribbons of light. 	 他让我看了一些超乎想橡的东西  橡是超炫竞技场上的能量碟战斗  还有在光束上跑的摩托车 	 トロンは人間が想像した 通りの物を見せてくれた  素晴らしい競技場で 繰り広げられたディスクバトルとか  光の中を走るバイクとか 
129096	133013	 -So radical, and together, -Sam: You built the grid. 	 棒透了！  所以我们一起…  你们建造了创界网络 	 凄くカッコ良かったぞ  そして　グリッドを作った 新しいグリッドだ 
133823	147027	 Kevin: We built a new grid.  With programs and users.  Now, I couldn't be in there all the time.  So, I created a program in my own image.  That could think, like you and me. 	 为程式及使用者建造了新网络  因为我无法总是待在那  所以我用自己的形象创造了  一个会思考的程式  就橡你、我 	 プログラムとユーザー　両方の為に  ずっとそこに居られないから  自身のイメージでプログラムを作った それは考える事が出来るんだ  お前やパパみたいに 
147434	151031	 And I called him, CLU. 	 我叫他「库鲁」(CLU) 	 そいつの名前はクルー 
151468	155035	 Codified Likeness Utility.  Kevin: That's right. 	 虚拟分身拟真系统  没错 	 ユーザーそっくりのプログラムだ 正解 
155290	164044	 And CLU, Tron and I, we built the system where all information was free,  And hope, beautiful. 	 于是，库鲁、创和我建构了创界  所有的资料全都免费开放  非常美好 	 クルーとトロンとパパは 新しいシステムを作った  そこでは全ての情報が  美しい 
166554	172052	 And then, one day.  Something happened. 	 然后，一天，有壮况发生 	 いつの日か  無料で共有できる 
174668	178058	 Something...extraordinary. 	 是件奇特的事 	 見事な出来だった 
180840	183003	 A miracle. 	 一个奇迹 	 奇跡だ 
186520	188008	 What was it? 	 是什么？ 	 何なの？ 
189203	192012	 That'll have to wait until next time. 	 那得留到下一次再说 	 それは 今度話してやるよ 
192225	202022	 How 'bout I get to work.  I'm wanna go with you, Dad.  Yeah, well.  One day, you will.  I promise. 	 我得去工作了，小子  爸！我想跟你去  是吗？  有一天你会的，我保证 	 仕事に戻らなきゃ  ボクも行きたいな  そうか！　じゃあ いつか連れてってやるよ  約束する 
202250	205025	 To the grid?  Good night, Sam. 	 进入创界网络？  晚安 	 グリッドへ？ おやすみ　サム 
207416	211031	 All right, what do you say tomorrow, you and I hit the arcade? 	 你觉得我们明天去打电动好吗？ 	 明日　一緒に ゲームセンターへ行かないか？ 
211622	217037	 You can have a crack at the old man's high score.  First games on me. 	 你可以试着破我的记录？  第一场我请客 	 パパのスコアに挑戦してみろ  最初のゲームに使え 
218552	221041	 Can we play doubles?  Sam: On the same team? 	 我们可以玩双打吗？同一队？ 	 一緒に出来る？ チームを組んで 
224062	226046	 We're always on the same team. 	 我们永远都是同一队 	 いつでもチームだよ 
248222	250010	 Good evening, our lead story. 	 晚安，今天的焦点新闻 	 今晩はニュースの時間です 
250125	258018	 ENCOM CEO and video game Icon, Kevin Flynn.  has disappeared.  He was best known for designing Tron, and Space Paranoids. 	 英克尔执行长及 电玩界巨擘凯文费林  失踪  他设计了两款史上最畅销的电玩 	 ゲーム業界のカリスマＥＮＣＯＭ社の ケビン・フリン氏が行方不明です  ゲーム史上最大のヒット作 トロンと 
258215	264024	 The two best selling video games in history.  Flynn took ownership of ENCOM in 1982. 	 「创」及「疯狂空间」后声名大噪  费林于1982年买下英克尔 	 スペースパラノイドの製作者と知られる  フリン氏はＥＮＣＯ社が業界トップに 躍り出た１９８２年に 
264113	267027	 And the company skyrocketed to the top of the tech industry. 	 公司在科技业中一飞冲天 	 同社のオーナーになりました 
267684	274034	 But things changed in 1985.  With the untimely death of Flynn's wife, the mother of his young son, Sam. 	 但1985年情况开始改变  就在费太太，山姆的母亲猝逝后 	 しかし１９８５年に 最愛の婦人が  一人息子のサム君を残して 亡くなるという悲劇が起こり 
274281	281041	 Recently ENCOM board members have been troubled by the reports of Flynn's erratic  even obsessive behavior. 	 最近，英克尔董事会对费林  古怪、妄想的行为感到困扰 	 以来フリン氏は常軌を逸した言動が増え  役員達を当惑させていたようです  オーナーの突然の失踪で 
281343	290050	 With Flynn missing, the company is now in Chaos.  This afternoon ENCOM's board moved to seize control from Flynn's partner, Alan Bradley. 	 费林失踪后公司陷入一片混乱  今天下午，英克尔董事会决议  从费林老友布雷迪手中夺回主权 	 騒然となったＥＮＣＯＭ社では 役員会が  共同経営者であった  アラン・ブラッドリー氏から実権を奪い 
290368	293053	 Vowing to return the company to profitability. 	 宣示要让公司重新获利 	 経営の建て直しに乗り出した 
293367	301001	 Loyal to the end, Bradley maintains his belief that Flynn is not missing.  And is instead pursuing his dream of quote: 	 老友布雷迪坚信，费林并未失踪  他只是在追逐他的梦想 	 親友フリン氏の失踪について ブラッドリー氏こう述べています  フリンは消えたのではなく 夢を追いかけているのだ 
301510	305005	 "A digital frontier to reshape the human condition". 	 「能改造人类现壮的数位领域」 	 人々の暮らしをより良いものにすべく デジタルの世界で 
306740	309009	 In there is a new world. 	 里面是一个全新的世界 	 そこに新しい世界があり 
309393	311011	 In there is our future. 	 里面是我们的未来 	 我々の未来がある 
311471	316016	 In there,  is our destiny. 	 里面是我们的命运 	 グリッドの中に 我々の運命がある 
321571	332032	 Even Flynn's most ardent supporters are now acknowledging a difficult truth.  Kevin Flynn may have simply, run away.  And while Flynn's loyalists hope for his imminent return. 	 现在连死忠支持者也不得不怀疑  凯文费林可能真的是落跑了  支持者希望他能尽快归位的同时 	 フリン氏の支援者も  この現実を否定しています  ケビン・フリンは逃げたんだと  彼が一刻も早く戻る事を 
332047	336036	 There is perhaps no one.... 	 没有人比混乱帝国的继承人 	 誰もが願って... 
336211	340040		 由祖父母照顾的小山姆费林更期盼 	
341096	346046	 He's coming.  He promised.  Kevin's mother: Sam, you have to eat.  Let go of me. 	 他承诺他会回来的  山姆，你得吃点东西  不要管我 	 帰って来るよ　約束したもん  サム　何か食べないと ほっといてよ 
346220	347047	 Sam. 		 サム！ 
347588	350050	 What will become of Flynn's legacy, and the future of ENCOM. 	 费林的遗产及英克尔的未来 	 フリンの遺産とＥＮＣＯＭ社は 
350582	355055	 Will most likely depend on what becomes of this now orphaned little boy. -SAM! 	 就全看这孤儿未来的表现了 	 どうなるのか...  この少年の今後に 掛かっている 
357270	359059	 Kevin's Mother: SAM, come back. 	 山姆！回来！ 	 サム　戻って来なさい 
371288	373013		 「警察」 	
469761	471051		 「管制区域」 	
474161	476056	 Well that is a big door. 	 这门可真大 	 分厚いドアだな 
476102	484004	 Welcome everybody, please settle.  I know it's late so I'll skip the pleasantries and hand things over to our chairman.  Richard Mackey 	 欢迎各位  请就座  我知道很晚了，废话不多说  马上交给我们的主席里查麦基 	 それでは皆さん  時間が遅いので 挨拶は省かせて頂きます  ではリチャード・マッケイ会長 
484567	486006		 「英克尔」 	
486903	489009	 Thank you, thank you. Thank you, Claire. 	 谢谢！谢谢！克莱儿 	 どうも　ありがとう 
491312	499019	 Tonight I am pleased to announce that ENCOM's last fiscal year,  was our most profitable, ever. 	 今晚我很高与宣布英克尔过去一年  是我们有史以来最赚钱的年度 	 我々ＥＮＣＯＭ社はこの都度  創立以来　最高の収益を 上げる事が出来ました 
500265	501021	 Yes. 	 没错 	 どうも 
519728	526046	 And at midnight tonight, the 12th version of our flagship operating system will hit the shelves.  Around the world. 	 就在今天午夜  我们的第十二版旗舰操作系统  即将在全世界上架 	 今夜　当社の誇るＯＳと そのバージョンジェルが発売される  世界同時に 
526086	540000	 Richard: I'm sure it comes as no surprise,  who we have to acclaim. The head of our software design team.  A man who's father own uh, notable history with ENCOM,  helped make this company, what it is today. 	 毫无疑问的，我们必须感谢  软体设计小组的召集人  他父亲成就了英克尔今天的成功 	 そこで我々が感謝すべきなのは  ソフトウェアデザインチームの リーダー  その人のお父上もまた ＥＮＣＯＭ社に多大な貢献をし  本日の基礎を築きました 
541470	545005	 Edward Dillinger. 	 爱德华狄林格，做得好 	 エダワード・デリンジャー 
545086	547007	 Well done. 	 做得好 	 とても素晴らしい 
550884	554014		 今年，不只是英克尔OS一12的推出 	
555762	566026	 We will be making our Debut on Tokyo's Nikkei index.  ENCOM's stock will now trade around the world.  24/7 	 我们也会在东京日经指数挂牌  英克尔股票将在全球全天候交易 	 さらに東京株式市場に 上場することになりました  ＥＮＣＯＭの株はこれから世界中で 取引されるでしょう　絶え間なく 
566206	568028	 Huh? Oh yes. 	 喔，太好了 	 素晴らしい 
592229	595055	 Excuse me,  Yes, Allan. 	 抱歉  是的，艾伦 	 ちょっといいかな どうぞ　アラン 
595342	600000	 Given the prices we charge to students, schools. 	 评估我们卖给…  学生及学校的售价 	 新バージョン発売で学生や 教育機関に出費を強いる事になるが 
601226	604004	 What sort of improvements have been made in Flynn 	 内容到底有什么改进？这套费林… 	 どこが進化したのかな フリンの物と 
604479	608008	 I mean, uh, ENCOM O.S. twelve? 	 我是说英克尔OS一12？ 	 ＥＮＣＯＭ　ＯＳ１２とは？ 
611110	614014	 This year we put a twelve on the box. 	 今年我们在外盒写上12 	 箱に１２と書いてある 
615273	619019	 Edward: O.S. 12 is the most secure operating system ever released. 	 OS一12是史上最安全的作业系统 	 ＯＳ１２とは最も安全性の 高いシステムです 
619357	623023	 The idea of sharing our software or giving it away for free. 	 之前那些免费或分享软体的主张 	 我が社のソフトウェアを タダで分け与える発想は 
623660	626026	 Disappeared with, Kevin Flynn. 	 跟凯文费林一起消失了 	 フリンと共に消えました 
639997	642042	 We know you're here. 	 我知道你在这 	 そこにいるんだろ？ 
642517	644044	 Let's make this easy. 	 让我们速战速决 	 さっさと出て来い 
647016	648048	 Come on, come on. 	 快点！快点！ 	 ほら　早く 
648773	650050		 「上传中」 	
656855	658058	 FREEZE! 	 别动！ 	 動くな！ 
659009	662002	 Okay, if there are no more questions. 	 如果没有任何问题… 	 ＯＫ  他に質問が無いようだが 
662241	665005	 I would like you to meet, our next blockbuster. 	 让我们来认识下一个明星产品 	 この新たな大ヒット商品を 紹介しよう 
665767	668008	 ENCOM O.S. Twelve. 	 英克尔OS一12！ 	 ＥＮＣＯＭ　ＯＳ　１２！ 
670442	672012	 Whoa! 		 おぉ！ 
672422	674014	 Just a few...bugs. 	 还有一些小问题 	 バグか？ 
674465	676016		 什么东西？ 	
677760	680020		 让我们现在连线到英克尔国际… 	
680263	682022	 Bear with us, one second. 	 请再等一下 	 ちょっと待ってくれ 
682432	687027	 Stop! Stop, stop. Stop, stop, will you just stop.  For one second. 	 让它消失，马上  别再弄了，停，停一下 	 止めろ！早く！早くしろ！ 早く出せ！ 
687520	688028		 现在让我们连线到他们的总部 	
688771	690030		 英克尔的主席里查麦基 	
690440	691031		 即将发表英克尔的… 	
691774	698038	 Nikkei will be open in thirty seconds.  Does anyone know where the master file is?  I do. 	 日经指数挂牌倒数三十秒  有人知道主程式在哪里吗？  我知道 	 日経は３０秒で始まるぞ  マスターファイルはどこだ？ 見ろ！ 
699449	700040	 It's on the web. 	 在网路上 	 ウェブに 
702850	704044	 This is mad, gotta stop this. 	 老天！我们得阻止它 	 早く止めないと 
708321	713053	 We've got to ring that opening bell.  How is this happening, we've got to stop this now. 	 我得去摇铃挂牌  我知道  快把它关掉 	 早く消すんだ  なんとかしてくれ　早く！ 
713127	721001	 No, let's just, shut it down.  -Shut it down, NOW! -Relax.  Relax, it's under control. 	 把它关掉  「删除」  放轻松，麦基，都在控制中 	 消すんだ！ シャットダウンしろ  落ち着いて  もう大丈夫だ 
721145	727007	 Relax?  Our most valuable and most secure operating system is out there for free. 	 放轻松？我们最珍贵最安全的系统  正在让人免费下载！ 	 大丈夫じゃない  他のどの商品よりも 鐘を鳴らすのはＯＳソフトだ 
727134	728008	 How am I suppose to explain that? 	 这叫我怎么解释？ 	 タダで出回ってるんだ 
728596	731011	 I dont' know. Say it was all part of the plan. 	 我不知道，就说是计划的一部分 	 分からない？ まぁ　コレも全部 計画のうちだと 
732914	735015	 A little uh, a little gift from ENCOM. 	 英克尔的小礼物 	 ＥＮＣＯＭからのプレゼントって事で 
735026	739019	 Apparently ENCOM technologies is having some...  -technical difficulties. -No. 	 显然英克尔国际有点技术上问题 	 どうやらＥＮＣＯＭ社に 技術的な... 
740615	743023		 我们先给他们一点时间解决 	 トラブルが発生したようで 
770937	774054	 Hey, Dad.  What are you doing? 	 嗨！老爸，最近好吗？ 	 やぁ　パパ  調子はどう？ 
776567	779059		 「英克尔」 	
780093	784004	 Guard: Where are you going to run to now?  Now you don't want to do that. 	 现在看你跑哪去？  你最好别过来 	 お前 そこで何する気だ？ 止めといたほうがいいよ 
784170	786006	 Didn't anyone tell you, stealing is wrong. 	 没人告诉你，偷窃有罪？ 	 盗みは悪い事だと知らないのか・ 
786773	789009	 Can't steal something that was designed to be free. 	 原本设计为免费的东西是偷不走的 	 元々タダで配るはずだったから 盗みじゃないよ 
789309	792012	 Now I got you.  Don't sweat it, your boss is okay with it. 	 我现在捉到你了  别担心，你的老板会同意的 	 もう　逃がさん あんたのボスは了解してるのか？ 
792667	796016	 -The hell he is. -Sam: Your boss works for the CEO. 	 他会才怪  你老板为董事会工作 	 そんな訳ないだろ  あんたのボスは会長だよ 
796094	800020	 The CEO works for the shareholders.  Now do you know who the biggest shareholder is? 	 董事会为股东工作  你知道谁是最大股东吗？ 	 会長のボスは株主だろ  筆頭株主が誰だか知ってる？ 
801479	803023	 I don't know, some kid. 	 我不知道，某个小鬼 	 どっかの小僧だろ 
806989	809029	 You're Mr. Flynn. 	 你是费林先生？ 	 あんたはフリンか... 
810517	812032	 Why? 	 为什么？ 	 なんで？ 
812970	821041	 This is your father's company.  Not anymore.  Wha..., hey, hey kid.  No, NOOOOOOO! 	 这是你爸爸的公司  不再是了  嘿！小子，不要！ 	 ここはお父さんの会社だろ？  今もね なぁ　待てよ  止めろ！ 
827554	829049	 Woo, hoo, hoo, hooo. 		
833678	835055	 Yeah! 		 やったぜ！ 
835801	837057	 Whoa, whoa, whoa, whoa. 		
842216	843003	 O...kay. 	 开什么玩笑！ 	 あぁ 
844517	848008	 Hey, there he is, get him. 		 あいつを捕まえろ 
848931	850010		 「计程车」 	
851107	853013	 HEY! No free rides. 	 不能搭便车 	 おい！　降りろよ！ 
853895	855015	 Whoa! 		
855982	858018	 No free Taxi, you pay. 	 不能搭便车！下车付钱！ 	
873028	875035	 Hold it right there, freeze! 		
878544	882042	 Okay boys, you got me. 	 好了，各位  你们逮到我了 	 降参だ 
882818	884044	 Hey. 		 よぉ 
898981	900000		 嘿，卡尔 	
916219	919019	 Enjoy it Marv, you earned it. 	 吃吧！阿福，今天辛苦了！ 	 ほら　マーヴィ　今日のギャラだ 
922682	925025	 Why are you in my apartment, Allen? 	 你怎么会在这里，艾伦？ 	 何でアランが家に居るの？ 
926088	929029	 You don't answer your phone. 	 你都不接电话 	 君が電話に出ないから 
931264	937037	 How you been, Sam?  Oh, you know, when I was twelve, I really appreciated the surrogate father thing.  But come on, Allen. 	 最近好吗，山姆？  12岁的时候  我觉得这种代理老爸的安排很棒  拜托，艾伦 	 元気だったか？　サム  １２歳の時は父親代わりで有難かったけど もういいよ　アラン 
937510	942042	 I got it all under control.  Oh, clearly. 	 我现在可以照顾自己  看得出来  怎么了？ 	 ちゃんとやってるからさ  そのようだな 
942052	943043	 What is it? You want to help me with my home work? 	 你想跟以前一样陪我做功课 	 何の用？ 宿題の手伝いに来たの？ 
943776	945045	 Like old times, have a catch. 	 还是玩接球游戏？ 	 それともキャッチボール？ 
947478	951051	 Well you got a, pretty nice view here. 	 你这里…夜景不错 	 ここは中々良い眺めだな 
953265	957057	 Heard you did a triple axel off a roof a few hours ago? 	 听说你今晚在空中翻转三圈半 	 さっき会社の屋上から トリプルアクセルがあったよ 
957901	964004	 Rough landing, huh?  Hmm, could have been worse.  I also thought your message to the board was very clever. 	 着地不顺吗？  有可能更惨的  你给董事会的讯息挺清楚的 	 ...で 着地に失敗 怪我は覚悟の上だよ  それに役員会へのメッセージは 中々のものだった 
964137	967007	 Oh, you like that?  Well, that was Marv's idea. 	 喜欢吗？是阿福的主意 	 あぁ　気に入った？  あれはマーヴィのアイディアだ 
973139	976016	 Allan, we really gonna do this again? 	 艾伦，我们真的又要讨论这个吗？ 	 アラン　あの話は止めない？ 
976710	980020	 Do I really look like I'm ready to run a fortune 500 company? 	 我样子橡可以经营 财星500大企业吗？ 	 俺が全米で500もの 会社を経営出来る者に見える？ 
980494	981021	 No. 	 不橡 	 いいや 
981981	986026	 But truthfully, the companies pretty happy with where you are. 	 说实在的，公司也很满意你的现壮 	 あぁ　実際 君がしゃしゃり出ない方が会社は喜ぶ 
986360	987027		 我相信 	
987209	990030	 See that way they can just keep doing whatever they want. 	 因为那样他们就能为所欲为 	 あいつらが好き放題出来るからな 
992041	999039	 Well I guess what I find curious is the crazy charities,  the annual prank on the company. 	 我只是好奇那些 莫名其妙的慈善捐款  还有每年让公司头痛的恶作剧 	 ただ私が気になるのは 君がチャリティ活動をしてる事だ 
999428	1002042	 Sure have an interesting way of being disinterested, Sam. 	 你让公司对你反感的方式 还真有创意 	 ホントは会社に興味があるんだろ？ 
1002392	1004044	 Why are you here, Alan? 	 你到底有什么目的，艾伦？ 	 何しに来たのさ？ 
1007352	1009049	 I was paged last night. 	 昨晚我的Ca11机响了 	 夕べこいつが鳴った 
1009217	1013053	 Oh man, still rocking the pager, hey?  Good for you. 	 天啊，还在用Ca11机，了不起 	 ホントに　今時ポケベルなんて？  受ける 
1013429	1018058	 Yeah, your Dad once told me I had to sleep with it, I still do. 	 是啊，你爸之前说我得带着它睡觉  我从未离身 	 それは君の父さんが 寝る時に持ってろって 
1018767	1021001	 Page came from your Dad's office, at the arcade. 	 讯息是从你父亲旧办公室传出的 	 ゲームセンターにある 彼のオフィスの番号だ 
1024491	1031011	 So.  So, that numbers been disconnected for twenty years. 	 又怎样？  怎样？  那个号码已经停用了20年 	 それで  ２０年間使われてなかった番号だぞ 
1032577	1036016	 Sam, two nights before he disappeared, he came to my house. 	 山姆，他失踪的前两天来我家 	 サム　彼は姿を消す ２日前の夜　家に来た 
1036324	1047027	 I've cracked it, he kept saying.  He was talking about genetic algorithms,  Quantum teleportation. He said he was about to change everything.  Uh, science, medicine, religion. 	 他一直说「我破解了」  不停说着有关基因运算  量子传输的事  他说他即将改变这世界  科学、医学、信仰 	 問題解決だと言ってな  遺伝的アルゴリズムや 陽子テレポーテーションが  どうとか言ってた　全て変えて見せると 科学も医学も宗教も 
1048371	1051031	 He wouldn't have left that, Sam. 	 他不会一走了之，山姆 	 そのまま消える訳が無い 
1054176	1055035	 He wouldn't have left you. 	 他不会弃你不顾 	 君を捨てる訳が... 
1055471	1059039	 Al, you're the only one who still believes that. 	 喔！艾伦  你是唯一还相信这件事的人 	 そんなこと気にしてるのは 貴方だけだ 
1059190	1062042	 He's either dead, or chillin' in Costa Rica. 	 他要不是死了就是在海边逍遥 	 父親は死んだか コスタリカで遊んでるか 
1062722	1065045	 Probably both. 	 或两者皆是 	 両方でも無い 
1065314	1069049	 I'm sorry.  I'm tired.  I smell like jail. 	 我很抱歉  我累了，全身都是牢房的味道 	 悪いけど  疲れてるんだ！　留置所帰りで 
1069949	1074054	 Let's just reconvene in another couple of years, huh? What do you say? 	 我们隔几年之后再联络，如何？ 	 その話はまた２年経った後で？ どうかな？ 
1078487	1080000	 Here. 	 拿去 	 これを 
1080770	1083003	 These are the keys to the arcade. 	 这是旧办公室的钥匙 	 ゲームセンターの鍵だ 
1083976	1097017	 I haven't gone over there, yet.  I thought you should be the one.  Alan, your acting like I'm going to find him sitting there working.  Just, "Hey kiddo, lost track of time". 	 我还没先过去  应该由你去看一看  你讲得好橡他现就坐在办公室里  然后说「儿子，抱歉！ 我忘了时间」 	 私はまだ行ってない 君が行くべきだ  俺が行くと親父が 普通に仕事してるってこと？  で　こう言う よぉボウズ　久しぶりだな 
1100266	1102022	 Wouldn't that be something. 	 那不是很神吗？ 	 彼とソックリだ 
1110950	1113033	 What? 	 什么？ 	 なんだよ？ 
1123706	1126046		 「费林游戏空间」 	
1209631	1214014	 *you, you.* 	 「英克尔创界」 	
1309058	1311051	 You son of a gun. 	 你这家伙 	 父さん　あんたは！ 
1322863	1325005		 「创界网络」 	
1349473	1351031		 「我是谁费林」 	
1351684	1353033	 Huh. 	 费林 	
1356438	1357037		 「登入错误」 	
1361937	1363043	 Sam: See you got a backdoor. 	 试试后门 	
1367575	1369049		 看你在搞啥鬼？ 	
1375958	1379059		 「雷射光束」，确认 	
1382214	1383003		 「光圈净空？」 	
1420419	1422042	 This isn't happening. 	 不是真的吧？！ 	 これは夢なのか？ 
1438477	1440000	 Oh man, this IS happening. 	 真的发生了！ 	 夢なんかじゃないぞ 
1452020	1454014	 This program has no disk.  Another stray. 	 这程式没有碟，又是一个走失者 	 このプログラムにはディスクが無い 
1454660	1455015			 ただの迷子だ 
1455928	1458018	 Wait, I'm not a program. 	 等一下，我不是程式 	 俺はプログラムじゃない 
1486979	1489049	 He actually did it. 	 他真的做到了 	 とうとうやったぞ 
1492700	1494054	 I'm on the grid. 	 我在创界网络上 	 グリッドに入ったんだ 
1504210	1507007	 Does the name Kevin Flynn mean anything to you? 	 你听过凯文费林这名字吗？ 	 ケビン・フリンという名前 聞いたことある？ 
1507589	1509009	 Be quiet if you want to live. 	 想活命就闭嘴 	 生き残りたいなら黙ってろ 
1509425	1514014	 Programs madly chants: Game, games, the games. Not the games. 	 不要竞技赛，拜托不要… 	 ゲームはイヤだ！ ゲームはイヤだ！  ゲームはイヤだ！ ゲームはイヤだ！ 
1514103	1515015	 What's his problem? 	 他有什么毛病？ 	 なに言ってるんだよ？ 
1515806	1518018		 不要碟战，不要碟战… 	
1518791	1520020			 ゲームはイヤだ！ ゲーム... 
1567649	1569009	 Rectify. 	 校正 	 修正 
1572654	1574014	 Rectify. 	 校正 	 修正 
1576794	1580020	 -Games. -NO! 	 碟战  不，拜托不要 	 - ゲーム - イヤだ！ 
1580265	1593033	 -Please. -Rectify.  Look I know you probably get this a lot,  But there's been a big mistake.  Games.  Please, no, no, no.  Whoa, hey!  Erase me! 	 校正  你一定常听到这句话 但这是个误会  碟战  拜托，不要  删除我吧！ 	 やめて 修正  聞き飽きてるかも知れないけど これは何かの間違いだ  ゲーム  やめて　イヤだ！ おい　放せよ！  やめろ　助けてくれ！ 
1593952	1595035	 AHHHHH! 		
1598138	1600040	 No! 	 不，等一等 	 やめろ！ まて！ まて！ 
1641547	1644024	 Can somebody tell me what the hell. 	 有人能告诉我这是怎么… 	 さて　何が始まるのかな？ 
